plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,observer,datetime,mutanta
16R4469:0004502,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004503,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004504,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004505,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004506,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004507,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004508,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004509,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004510,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004511,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004512,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004513,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004514,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4469:0004515,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004713,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004712,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004710,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004709,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004711,1,0,0,0,0,shorter_by_5_ft, , ,,toni,07/17/2016 12:00:00,
16R4471:0004708,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004707,0,1,1,1,1, , ,small ear,,toni,07/17/2016 12:00:00,
16R4471:0004706,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004705,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004704,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004702,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4471:0004703,1,0,0,0,0,shorter_by_4_ft, , ,,toni,07/17/2016 12:00:00,
16R4471:0004701,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4470:0004606,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4470:0004605,1,0,0,0,0, , , ,,toni,07/17/2016 12:00:00,
16R4470:0004604,0,1,1,1,1,shorter_by_1_ft, ,small ear,,toni,07/17/2016 12:00:00,
16R4470:0004603,0,1,1,1,1, , ,small ear,,toni,07/17/2016 12:00:00,
16R4470:0004602,0,1,1,1,1, , ,small ear,,toni,07/17/2016 12:00:00,
