plantID,ht cm,datetime,observer,num_leaves,leaf_num_first_ear,num_tillers,plant_anatomy
15R405:M0003411,136,08/28/2015 10:00:00,toni,,,,
15R405:M0003408,131,08/28/2015 10:00:00,toni,,,,
15R405:M0003407,123,08/28/2015 10:00:00,toni,,,,
15R405:M0003406,128,08/28/2015 10:00:00,toni,,,,
15R405:M0003405,129,08/28/2015 10:00:00,toni,,,,
15R405:M0003403,129,08/28/2015 10:00:00,toni,,,,
15R405:M0003402,123,08/28/2015 10:00:00,toni,,,,
15R405:M0003501,126,08/28/2015 10:00:00,toni,,,,
15R405:M0003502,120,08/28/2015 10:00:00,toni,,,,
15R405:M0003505,133,08/28/2015 10:00:00,toni,,,,
15R405:M0003506,126,08/28/2015 10:00:00,toni,,,,
15R405:M0003507,133,08/28/2015 10:00:00,toni,,,,
15R405:M0003508,131,08/28/2015 10:00:00,toni,,,,
15R405:M0003511,117,08/28/2015 10:00:00,toni,,,,
15R405:M0003619,131,08/28/2015 10:00:00,toni,,,,
15R405:M0003618,132,08/28/2015 10:00:00,toni,,,,
15R405:M0003617,124,08/28/2015 10:00:00,toni,,,,
15R405:M0003616,135,08/28/2015 10:00:00,toni,,,,
15R405:M0003615,118,08/28/2015 10:00:00,toni,,,,
15R405:M0003614,121,08/28/2015 10:00:00,toni,,,,
15R405:M0003613,125,08/28/2015 10:00:00,toni,,,,
15R405:M0003612,130,08/28/2015 10:00:00,toni,,,,
15R405:M0003611,121,08/28/2015 10:00:00,toni,,,,
15R405:M0003610,138,08/28/2015 10:00:00,toni,,,,
15R405:M0003609,146,08/28/2015 10:00:00,toni,,,,
15R405:M0003608,104,08/28/2015 10:00:00,toni,,,,
15R405:M0003607,124,08/28/2015 10:00:00,toni,,,,
15R405:M0003606,142,08/28/2015 10:00:00,toni,,,,
15R405:M0003605,145,08/28/2015 10:00:00,toni,,,,
15R405:M0003604,105,08/28/2015 10:00:00,toni,,,,
15R405:M0003603,110,08/28/2015 10:00:00,toni,,,,
15R405:M0003701,127,08/28/2015 10:00:00,toni,,,,
15R405:M0003704,114,08/28/2015 10:00:00,toni,,,,
