"a4:ad204","found Dec, 2007",,,,,"maternal gtype",,,,,"paternal gtype",,,,,,,,,,,,,,,,,,
"crop","offspring family","ma family","ma num gtype","pa family","pa num gtype","pma ma gma gtype","pma ma gpa gtype","pma pa gma gtype","pma pa mutant","ma quasi","ppa pa gma gtype","ppa ma gpa gtype","ppa pa gma gtype","ppa pa mutant","num bc","num oc","pa quasi","cross date","ear","est cl","counted cl","current cl count","packet","box","sleeve","inventory date","plant 07r","plan","notes"
"06R",,200,"06R200:S00I1917",77,"06R0077:0007718","Mo20W","Mo20W","Mo20W","Mo20W",,"+","les*-N2012","+","les*-N2012",0,1,"-K7718","7/22/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I1919",4,"06R0004:0000405","Mo20W","Mo20W","Mo20W","Mo20W",,"Mo20W","+","Mo20W","Les6",1,0,"-K0405","7/15/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2209",78,"06R0078:0007807","Mo20W","Mo20W","Mo20W","Mo20W",,"?/les*-N2013","?","?/les*-N2013","?",0,1,"-K7807","7/22/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2210",54,"06R0054:0005401","Mo20W","Mo20W","Mo20W","Mo20W",,"?","?","?","Les1-N843",0,1,"-K5401","7/16/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2502",112,"06R0112:0011201","Mo20W","Mo20W","Mo20W","Mo20W",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11201","7/24/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2508",112,"06R0112:0011211","Mo20W","Mo20W","Mo20W","Mo20W",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11211","7/24/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2512",76,"06R0076:0007601","Mo20W","Mo20W","Mo20W","Mo20W",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7601","7/25/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2513",76,"06R0076:0007608","Mo20W","Mo20W","Mo20W","Mo20W",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7608","7/25/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2515",76,"06R0076:0007609","Mo20W","Mo20W","Mo20W","Mo20W",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7609","7/25/2006","x",,,,,,,,,,
"06R","1404",200,"06R200:S00I2516","76","06R0076:0007611","Mo20W","Mo20W","Mo20W","Mo20W",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7611","7/00/2006",,,,,,,,,,,
"06R",,200,"06R200:S00I2518",76,"06R0076:0007613","Mo20W","Mo20W","Mo20W","Mo20W",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7613","7/25/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2520",76,"06R0076:0007614","Mo20W","Mo20W","Mo20W","Mo20W",,"+","Les*-N1450","+","Les*-N1450",0,1,"-K7614","7/25/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2609",82,"06R0082:0008203","Mo20W","Mo20W","Mo20W","Mo20W",,"(B73/AG32)/(B73/AG32)","(B73/AG32)/(Ht1/les*-N2333A)","(B73/AG32)/(B73/AG32)","(B73/AG32)/(Ht1/les*-N2333A)",0,1,"-K8203","7/25/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I2612",84,"06R0084:0008414","Mo20W","Mo20W","Mo20W","Mo20W",,"+","Les*-N2397","+","Les*-N2397",0,1,"-K8414","7/25/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I3403",82,"06R0082:0008211","Mo20W","Mo20W","Mo20W","Mo20W",,"(B73/AG32)/(B73/AG32)","(B73/AG32)/(Ht1/les*-N2333A)","(B73/AG32)/(B73/AG32)","(B73/AG32)/(Ht1/les*-N2333A)",0,1,"-K8211","7/22/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I3407",83,"06R0083:0008304","Mo20W","Mo20W","Mo20W","Mo20W",,"+","les*-N2363A","+","les*-N2363A",0,1,"-K8304","7/22/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I3701",112,"06R0112:0011209","Mo20W","Mo20W","Mo20W","Mo20W",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11209","7/17/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I3702",112,"06R0112:0011208","Mo20W","Mo20W","Mo20W","Mo20W",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11208","7/17/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I3704",95,"06R0095:0009504","Mo20W","Mo20W","Mo20W","Mo20W",,"B73 Ht1","les*-ats","B73 Ht1","les*-ats",0,1,"-K9504","7/22/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I3705",112,"06R0112:0011206","Mo20W","Mo20W","Mo20W","Mo20W",,"(zn1)","(?)","(zn1)","(?)",0,1,"-K11206","7/17/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I6608",9,"06R0009:0000904","Mo20W","Mo20W","Mo20W","Mo20W",,"Mo20W","+","Mo20W","Les11",1,0,"-K0904","7/15/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I6804",103,"06R0103:0010307","Mo20W","Mo20W","Mo20W","Mo20W",,"?","?","?","ij2-N8",0,1,"-K10307","7/25/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I7909",40,"06R0040:0004005","Mo20W","Mo20W","Mo20W","Mo20W",,"Les6 NonExp","?","?","Les6 Exp",0,1,"-K4005","7/20/2006","x",,,,,,,,,,
"06R",,200,"06R200:S00I9809",27,"06R0027:0002711","Mo20W","Mo20W","Mo20W","Mo20W",,"W23","+","W23","Les12",0,1,"-K2711","7/15/2006","x",,,,,,,,,,
"06R",,200,"06R200:S0I10016",32,"06R0032:0003206","Mo20W","Mo20W","Mo20W","Mo20W",,"W23","+","W23","Les19",0,1,"-K3206","7/15/2006","x",,,,,,,,,,
"06R",,300,"06R300:W000I219",97,"06R0097:0009706","W23","W23","W23","W23",,"Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14","Ht1-GE440 ^M14",0,1,"-K9706","7/24/2006","x",,,,,,,,,,
