sample num,plantID,image num,leaf,camera,observer,datetime,microscopy_sample
e01091,13R3946:0005906,0038,e1,aleph,avi,08/01/2013 9:52:51,
e01087,13R3943:0006010,0034,e-2,aleph,avi,08/01/2013 9:40:29,
e01089,13R3943:0006012,0036,e-2,aleph,avi,08/01/2013 9:46:29,
e01105,13R4085:0006105,0052,e1,aleph,avi,08/01/2013 10:32:54,
e01086,13R4085:0006108,0033,e1,aleph,avi,08/01/2013 9:37:25,
e01094,13R4086:0006201,0041,e0,aleph,avi,08/01/2013 10:02:48,
e01102,13R4086:0006205,0049,e0,aleph,avi,08/01/2013 10:28:27,
e01088,13R3590:0006301,0035,e5,aleph,avi,08/01/2013 9:43:08,
e01084,13R3590:0006304,0031,e0,aleph,avi,08/01/2013 9:30:50,
e01082,13R3590:0006306,0029,e1,aleph,avi,08/01/2013 9:23:55,
e01106,13R4195:0006401,0053,e1,aleph,avi,08/01/2013 10:34:43,
e01085,13R4195:0006402,0032,e1,aleph,avi,08/01/2013 9:34:49,
e01115,13R3959:0006601,0061,e-1,aleph,avi,08/01/2013 12:14:57,
e01132,13R3959:0006602,0078,e-1,aleph,avi,08/01/2013 12:57:58,
e01140,13R3962:0006802,0086,e3,aleph,avi,08/01/2013 13:12:17,
e01142,13R3962:0006803,0088,e4,aleph,avi,08/01/2013 13:18:46,
e01139,13R4087:0006905,0085,e5,aleph,avi,08/01/2013 13:10:33,
e01116,13R4087:0006911,0062,t-2,aleph,avi,08/01/2013 12:23:51,
e01144,13R4088:0007005,0090,e5,aleph,avi,08/01/2013 13:22:30,
e01137,13R4088:0007006,0083,e6,aleph,avi,08/01/2013 13:07:18,
e01126,13R3966:0007108,0072,e3,aleph,avi,08/01/2013 12:48:28,
e01124,13R3966:0007109,0070,e4,aleph,avi,08/01/2013 12:43:50,
e01123,13R4089:0007201,0069,e5,aleph,avi,08/01/2013 12:40:58,
e01136,13R4089:0007202,0082,e5,aleph,avi,08/01/2013 13:05:00,
e01134,13R4090:0007301,0080,e3,aleph,avi,08/01/2013 13:00:56,
e01113,13R4090:0007305,0059,e2,aleph,avi,08/01/2013 12:09:37,
e01135,13R4091:0007403,0081,e2,aleph,avi,08/01/2013 13:02:35,
e01133,13R4091:0007405,0079,e2,aleph,avi,08/01/2013 12:59:35,
e01117,13R3975:0007509,0063,e4,aleph,avi,08/01/2013 12:25:39,
e01131,13R3975:0007512,0077,e5,aleph,avi,08/01/2013 12:56:31,
e01128,13R3980:0007601,0074,e5,aleph,avi,08/01/2013 12:51:30,
e01121,13R3980:0007614,0067,e4,aleph,avi,08/01/2013 12:35:50,
e01120,13R3983:0007705,0066,e3,aleph,avi,08/01/2013 12:33:31,
e01114,13R3983:0007706,0060,e3,aleph,avi,08/01/2013 12:12:07,
e01125,13R4092:0007804,0071,e4,aleph,avi,08/01/2013 12:48:08,
e01112,13R4092:0007806,0058,e4,aleph,avi,08/01/2013 12:00:24,
e01122,13R4093:0008004,0068,e3,aleph,avi,08/01/2013 12:38:26,
e01127,13R4093:0008005,0073,e4,aleph,avi,08/01/2013 12:50:12,
e01118,13R4094:0008104,0064,e5,aleph,avi,08/01/2013 12:28:55,
e01130,13R4094:0008107,0076,e5,aleph,avi,08/01/2013 12:54:51,
e01138,13R3995:0008201,0084,e4,aleph,avi,08/01/2013 13:08:57,
e01143,13R4000:0008304,0089,t-1,aleph,avi,08/01/2013 10:40:30,
e01129,13R4000:0008305,0075,e4,aleph,avi,08/01/2013 12:53:02,
e01141,13R4095:0008502,0087,t0,aleph,avi,08/01/2013 13:16:51,
e01119,13R4095:0008505,0065,e-3,aleph,avi,08/01/2013 12:31:07,
e01167,13R4013:0008701,0113,t0,aleph,avi,08/06/2013 14:21:36,
e01153,13R4013:0008702,0099,t-1,aleph,avi,08/08/2013 14:09:03,
e01163,13R4013:0008705,0109,e4,aleph,avi,08/06/2013 14:18:10,
e01176,13R4096:0008802,0122,t-1,aleph,avi,08/06/2013 14:28:44,
e01172,13R4096:0008803,0118,t-2,aleph,avi,08/06/2013 14:25:18,
e01145,13R4096:0008807,0091,e6,aleph,avi,08/06/2013 13:54:05,6
e01169,13R4097:0008901,0115,e3,aleph,avi,08/06/2013 14:23:11,
e01168,13R4097:0008904,0114,e4,aleph,avi,08/06/2013 14:22:16,
e01155,13R4099:0009107,0101,e4,aleph,avi,08/06/2013 14:12:07,
e01166,13R4099:0009108,0112,e4,aleph,avi,08/06/2013 14:20:45,
e01178,13R4023:0009201,0124,t0,aleph,avi,08/06/2013 14:30:37,
e01161,13R4023:0009202,0107,t0,aleph,avi,08/06/2013 14:16:28,
e01173,13R4023:0009207,0119,t-1,aleph,avi,08/06/2013 14:26:07,
e01175,13R3460:0009305,0121,e4,aleph,avi,08/06/2013 14:27:51,
e01156,13R3460:0009309,0102,e5,aleph,avi,08/06/2013 14:12:52,
e01160,13R4100:0009410,0106,e-2,aleph,avi,08/06/2013 14:15:42,
e01147,13R4100:0009412,0093,e-2,aleph,avi,08/06/2013 13:57:32,
e01162,13R3647:0009507,0108,e3,aleph,avi,08/06/2013 14:17:10,
e01149,13R3647:0009508,0095,e3,aleph,avi,08/06/2013 14:01:10,
e01146,13R4038:0009801,0092,e2,aleph,avi,08/06/2013 13:55:44,
e01158,13R4038:0009807,0104,t-2,aleph,avi,08/06/2013 14:14:04,
e01170,13R3656:0009901,0116,e4,aleph,avi,08/06/2013 14:23:54,
e01165,13R3656:0009904,0111,e4,aleph,avi,08/06/2013 14:19:39,
e01157,13R3701:0010007,0103,e3,aleph,avi,08/06/2013 14:13:32,
e01148,13R3701:0010011,094,e3,aleph,avi,08/06/2013 13:40:59,
e01179,13R3701:0010011,0125,t-1,aleph,avi,08/06/2013 14:32:10,
e01171,13R4102:0010103,0117,e4,aleph,avi,08/06/2013 14:24:35,
e01154,13R4102:0010107,0100,e5,aleph,avi,08/06/2013 14:10:36,
e01152,13R4103:0010309,0098,e0,aleph,avi,08/06/2013 14:06:58,
e01150,13R4103:0010310,0096,e0,aleph,avi,08/06/2013 14:02:50,
e01151,13R4103:0010311,0097,e0,aleph,avi,08/06/2013 14:04:10,
e01174,13R4104:0010409,0120,t0,aleph,avi,08/06/2013 14:27:11,
e01177,13R4104:0010410,0123,t0,aleph,avi,08/06/2013 14:29:41,
e01159,13R4105:0010502,0105,e4,aleph,avi,08/06/2013 14:15:07,
e01164,13R4105:0010503,0110,e3,aleph,avi,08/06/2013 14:18:52,
e01205,13R4106:0010704,0151,e4,aleph,avi,08/06/2013 17:49:03,
e01204,13R4106:0010710,0150,e4,aleph,avi,08/06/2013 17:47:19,
e01186,13R4107:0010901,0132,e3,aleph,avi,08/06/2013 17:17:49,
e01187,13R4107:0010901,0133,e4,aleph,avi,08/06/2013 17:21:24,
e01190,13R4107:0010902,0136,e2,aleph,avi,08/06/2013 17:25:46,
