"plantID","wild_type","lesion","cross","photograph","stature","tassel","ear","other_phenotypes","observer","datetime","mutanta"
"11N3339:0000810",1,0,0,0,0,,,,"toni",,
"11N3340:0000903",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3340:0000904",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N3340:0000905",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3340:0000906",1,0,0,0,0,,,,"toni",,
"11N3340:0000907",1,0,0,0,0,,,,"toni",,
"11N3340:0000908",0,1,1,1,"shorter_by_1ft",,,,"toni",,
"11N3341:0001001",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3341:0001002",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3341:0001004",0,1,1,1,"shorter_by_1ft",,"rudimentary ear",,"toni",,
"11N3341:0001005",0,1,0,0,0,,,,"toni",,
"11N3341:0001006",0,1,1,1,"shorter_by_1ft",,"rudimentary ear",,"toni",,
"11N3341:0001007",0,1,0,0,"shorter_by_2ft","rudimentary tassel","no ear",,"toni",,
"11N3341:0001009",1,0,0,0,"shorter_by_5ft",,,,"toni",,
"11N3341:0001010",0,1,0,0,"shorter_by_5ft",,,,"toni",,
"11N3341:0001011",0,1,1,1,"shorter_by_2ft","poor tassel","no ear",,"toni",,
"11N3342:0001101",1,0,0,0,0,,,,"toni",,
"11N3342:0001102",1,0,0,0,"shorter_by_3ft",,,,"toni",,
"11N3342:0001103",1,0,0,0,0,,,,"toni",,
"11N3342:0001104",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3342:0001105",1,0,0,0,0,,,,"toni",,
"11N3342:0001106",1,0,0,0,0,,,,"toni",,
"11N3342:0001107",1,0,0,0,0,,,,"toni",,
"11N3342:0001108",1,0,0,0,"shorter_by_1ft",,,,"toni",,
"11N3342:0001109",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N3342:0001110",1,0,0,0,0,,,,"toni",,
"11N3342:0001111",1,0,0,0,0,,,,"toni",,
"11N3342:0001112",1,0,0,0,0,,,,"toni",,
"11N1010:0006302",0,1,1,1,0,,,,"toni",,
"11N1010:0006303",1,0,0,0,0,,,,"toni",,
"11N1010:0006304",1,0,0,0,"shorter_by_1ft",,"small ear",,"toni",,
"11N1010:0006305",1,0,0,0,0,,"small ear",,"toni",,
"11N1010:0006306",1,0,0,0,"shorter_by_4ft",,,,"toni",,
"11N1279:0006401",0,1,1,1,0,,,,"toni",,
"11N1279:0006403",0,1,1,1,0,,,,"toni",,
"11N1279:0006405",0,1,0,0,0,,,,"toni",,
"11N1279:0006406",1,0,0,0,0,,,,"toni",,
"11N1279:0006407",1,0,0,0,"shorter_by_2ft",,,,"toni",,
"11N1279:0006409",0,1,1,1,0,,,,"toni",,
"11N1279:0006410",0,1,1,1,0,,"rudimentary ear",,"toni",,
