plantID,wild_type,lesion,cross,photograph,sample,stature,tassel,ear,other_phes,datetime,observer,mutanta
16R4511:0011306,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4511:0011307,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4511:0011308,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4511:0011309,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4511:0011310,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4511:0011311,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4512:0011401,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4512:0011402,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4512:0011403,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4512:0011404,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4512:0011405,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4513:0011502,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4513:0011504,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4513:0011505,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4007:0011601,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4007:0011602,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4007:0011603,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4007:0011604,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4007:0011607,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4007:0011609,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4007:0011610,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4011:0011701,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4011:0011704,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4011:0011705,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4011:0011706,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4011:0011708,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4011:0011709,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4514:0011801,0,1,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4514:0011802,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4514:0011803,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4514:0011804,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4514:0011805,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4514:0011807,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4514:0011808,1,0,0,0,0,,,,,07/17/2016 12:00:00,toni,
16R4514:0011809,0,1,1,1,1,,,,,07/17/2016 12:00:00,toni,
